time,open,high,low,close,volume
1771642800,67915.87,67915.87,67698.13,67774.5,0.70006
1771643700,67752.43,67828.74,67741.07,67799.7,0.04769
1771644600,67828.74,67841.67,67519.63,67519.63,1.08957
1771645500,67619.25,67673.66,67586.62,67659.76,0.06056
1771646400,67640.36,67705.04,67615.77,67691.61,0.34158
1771647300,67678.81,67678.81,67609.37,67662.5,0.09048
1771648200,67713.02,67763.65,67693.18,67746.1,0.06444
1771649100,67730.6,67825.14,67719.8,67825.14,0.39813
1771650000,67848.82,67883.69,67839.98,67850.01,0.00359
1771650900,67859.67,67891.99,67838.82,67852.52,0.61405
1771651800,67852.99,67863.41,67767.24,67842.23,0.33854
1771652700,67859.37,67877.17,67823.97,67852.31,0.00386
1771653600,67871.46,67933.07,67871.46,67933.07,0.35535
1771654500,67884.85,67920.48,67884.85,67920.25,0.00052
1771655400,67868.76,67885.5,67776.58,67778.23,0.2156
1771656300,67777.07,67803.68,67777.07,67803.68,0.01759
1771657200,67780.3,67856.73,67748.02,67845.45,0.0079
1771658100,67849.07,67850.22,67835.44,67835.44,0.00375
1771659000,67876.0,67876.0,67843.27,67847.67,0.00132
1771659900,67849.32,67866.59,67849.32,67866.59,0.00156
1771660800,67863.67,67905.7,67863.67,67900.0,0.00218
1771661700,67900.0,67986.62,67900.0,67961.37,0.051
1771662600,67999.88,68012.47,67999.88,68012.46,0.01484
1771663500,68031.82,68079.1,68007.77,68079.1,0.2713
1771664400,68044.62,68073.74,68000.09,68000.09,0.00111
1771665300,68106.3,68269.68,68106.3,68265.72,0.49997
1771666200,68222.55,68286.62,68184.67,68201.92,0.34457
1771667100,68212.73,68212.73,68175.47,68175.68,0.15579
1771668000,68188.77,68252.95,68188.77,68199.15,0.01162
1771668900,68199.15,68199.15,68199.15,68199.15,0.0
1771669800,68228.25,68228.25,68208.59,68210.81,0.04757
1771670700,68212.25,68212.25,68177.63,68201.1,0.11558
1771671600,68230.88,68275.54,68230.88,68253.94,0.00965
1771672500,68257.73,68274.17,68257.73,68274.17,0.03687
1771673400,68162.28,68167.16,68136.21,68148.79,0.37196
1771674300,68124.61,68124.61,68124.61,68124.61,0.00147
1771675200,68130.57,68149.07,67987.26,67987.26,0.04609
1771676100,67972.02,67972.02,67972.02,67972.02,0.048
1771677000,67945.97,68003.78,67910.31,68003.78,0.2263
1771677900,68059.9,68201.73,68059.9,68201.73,0.0546
1771678800,68185.1,68193.05,68140.76,68160.84,0.04706
1771679700,68159.59,68242.98,68137.23,68242.98,0.93632
1771680600,68181.21,68181.21,68181.21,68181.21,0.00021
1771681500,68176.38,68261.51,68176.38,68261.51,0.04972
1771682400,68263.18,68263.18,68217.8,68242.86,0.09409
1771683300,68253.97,68622.95,68253.97,68528.27,1.02044
1771684200,68442.45,68612.23,68442.45,68513.18,0.15563
1771685100,68513.18,68567.82,68493.01,68535.09,1.75287
1771686000,68456.51,68510.0,68445.68,68499.32,0.02291
1771686900,68520.0,68591.2,68517.21,68517.21,0.08278
1771687800,68455.15,68680.34,68455.15,68628.81,0.28109
1771688700,68643.35,68696.22,68630.82,68662.52,0.19734
1771689600,68554.87,68554.87,68322.78,68413.36,0.2971
1771690500,68347.09,68347.09,68086.59,68253.14,0.4615
1771691400,68263.99,68330.82,68246.24,68321.79,0.09559
1771692300,68327.36,68373.07,68166.86,68308.33,0.29051
1771693200,68319.53,68379.19,68222.05,68292.39,0.1704
1771694100,68303.16,68328.77,68221.8,68313.12,0.2846
1771695000,68331.44,68445.65,68291.75,68445.65,0.07606
1771695900,68397.21,68456.78,68397.21,68419.96,0.27717
1771696800,68457.38,68457.38,68403.63,68431.11,0.02801
1771697700,68446.03,68541.79,68441.5,68537.29,0.22642
1771698600,68529.12,68569.52,68511.92,68551.59,0.09088
1771699500,68525.58,68649.62,68525.58,68560.03,0.13836
1771700400,68567.72,68654.57,68567.72,68628.52,0.17004
1771701300,68596.86,68599.32,68574.4,68574.4,0.11774
1771702200,68578.13,68639.62,68578.13,68600.0,0.06661
1771703100,68611.73,68611.73,68549.62,68560.62,0.02738
1771704000,68529.03,68547.91,68461.99,68515.7,0.05291
1771704900,68500.15,68598.06,68500.15,68567.15,0.15695
1771705800,68580.0,68580.0,68345.67,68345.67,0.46433
1771706700,68380.84,68431.41,68206.36,68206.36,0.27546
1771707600,68245.86,68322.46,68168.2,68284.65,0.22012
1771708500,68298.27,68380.92,68298.27,68380.92,0.04419
1771709400,68352.38,68352.38,68300.0,68300.0,0.0054
1771710300,68346.99,68386.0,68337.73,68385.59,0.12858
1771711200,68412.3,68427.06,68253.44,68253.44,0.11045
1771712100,68280.33,68342.13,68242.0,68271.0,0.33919
1771713000,68271.37,68287.77,67985.01,68099.06,0.29919
1771713900,68150.98,68158.26,67904.39,67936.67,0.60593
1771714800,67967.77,68031.52,67963.69,67989.3,0.03282
1771715700,68005.7,68090.24,67997.51,68090.24,0.01387
1771716600,68111.15,68123.07,68091.17,68091.17,0.04008
1771717500,68010.96,68025.03,68000.12,68023.17,0.04532
1771718400,67984.38,68041.42,67968.76,68041.05,0.0125
1771719300,67973.84,67973.84,67764.61,67764.61,0.14112
1771720200,67920.25,67920.96,67881.83,67891.85,0.00378
1771721100,67844.49,67968.1,67844.49,67968.1,0.0467
1771722000,67955.2,68079.76,67955.2,68057.01,0.07995
1771722900,68039.75,68122.52,68039.75,68108.39,0.14598
1771723800,68122.52,68151.54,68067.13,68125.54,0.24626
1771724700,68160.12,68183.64,68160.12,68183.64,0.00179
1771725600,68140.74,68234.25,68140.74,68199.0,0.28208
1771726500,68200.0,68200.0,68076.25,68076.25,0.00779
1771727400,68098.39,68116.89,67899.27,67997.28,0.12151
1771728300,67974.09,68059.72,67799.56,67928.95,0.5679
1771729200,67933.34,68046.19,67933.34,68030.37,0.21561
1771730100,68036.52,68036.52,67798.11,67964.86,0.17615
1771731000,67912.34,67979.97,67912.34,67979.97,0.04857
1771731900,67961.76,68059.08,67892.66,68019.7,0.27449
1771732800,68057.16,68089.13,68029.09,68084.47,0.22527
1771733700,68089.91,68089.91,67987.25,68026.33,0.06043
1771734600,68023.95,68052.7,68023.95,68052.7,0.01468
1771735500,68025.42,68025.42,68018.01,68018.01,0.00077
1771736400,67995.78,68030.79,67900.3,67900.31,0.00316
1771737300,67905.39,67958.72,67905.39,67945.77,0.01087
1771738200,67959.9,67962.69,67946.19,67960.56,0.00366
1771739100,67958.92,67958.92,67901.08,67901.08,0.01719
1771740000,67979.52,68061.3,67979.52,68051.27,0.07182
1771740900,68043.07,68170.64,68040.81,68163.18,0.50582
1771741800,68148.81,68148.81,68082.1,68082.1,0.05419
1771742700,68050.93,68050.93,68050.93,68050.93,0.048
1771743600,68004.57,68048.89,68004.57,68040.81,0.00606
1771744500,68051.46,68051.46,68045.81,68045.81,0.0003
1771745400,68059.07,68091.76,68034.51,68091.76,0.0024
1771746300,68075.62,68075.62,68024.08,68024.08,0.09855
1771747200,68008.44,68008.44,67990.17,67990.17,0.00145
1771748100,67946.62,67961.51,67946.62,67961.51,0.05753
1771749000,67941.05,67969.36,67941.05,67969.36,0.088
1771749900,67954.15,67985.06,67954.15,67957.03,0.01713
1771750800,67993.14,68033.72,67978.2,68033.72,0.05126
1771751700,68058.9,68058.9,68035.55,68035.97,0.00116
1771752600,68046.85,68052.14,68006.76,68052.14,0.00108
1771753500,68051.35,68051.35,68051.35,68051.35,0.00036
